[0.051948051948051945, 0.051948051948051945]
[0.03494623655913978, 0.035483870967741936]
[0.10752688172043011, 0.10557184750733137]
[0.1774193548387097, 0.1814516129032258]
[0.25806451612903225, 0.25089605734767023]
[0.0625, 0.06862745098039216]
[0.21176470588235294, 0.18823529411764706]
[0.31512605042016806, 0.36764705882352944]
[0.5490196078431372, 0.4434389140271493]
[0.525, 0.375]
[0.3333333333333333, 0.2619047619047619]
[0.04910714285714286, 0.0625]
[0.25, 0.17543859649122806]
[0.06984126984126984, 0.13333333333333333]
[0.1, 0.10476190476190478]
[0.3827751196172249, 0.40909090909090906]
[1.0909090909090908, 0.7676767676767677]
[0.08854166666666666, 0.09999999999999999]
[0.05681818181818182, 0.07196969696969696]
[0.21657754010695185, 0.1818181818181818]
[0.06521739130434782, 0.1141304347826087]
[0.05513784461152882, 0.21052631578947367]
[0.3636363636363636, 0.3666666666666667]
[0.7407407407407407, 0.7333333333333334]
[0.08547008547008547, 0.08284023668639054]
[0.25, 0.25961538461538464]
[0.22857142857142856, 0.4266666666666667]
[1.2857142857142856, 0.7000000000000001]
[0.057142857142857134, 0.05042016806722689]
[0.04398148148148148, 0.05208333333333333]
[0.16666666666666666, 0.1323529411764706]
[0.22135416666666669, 0.3125]
[0.5833333333333334, 0.3111111111111111]
[0.06334841628959276, 0.0661764705882353]
[0.12698412698412698, 0.11851851851851851]
[0.10625000000000001, 0.05833333333333334]
[0.18, 0.32]
[0.17592592592592593, 0.10416666666666666]
[0.3333333333333333, 0.5294117647058824]
[0.8854166666666667, 0.625]
[0.07407407407407407, 0.03880070546737213]
[0.09153318077803203, 0.2608695652173913]
[0.10526315789473684, 0.11027568922305764]
[0.1272727272727273, 0.12121212121212122]
[1.5, 1.05]
[0.13157894736842105, 0.140625]
[0.13333333333333333, 0.06984126984126984]
[0.19090909090909092, 0.13636363636363635]
[0.2, 0.04190476190476191]
[0.09917355371900825, 0.09917355371900825]
[0.3, 0.3]
[0.5050505050505051, 0.5050505050505051]
[0.0510204081632653, 0.05357142857142857]
[0.16326530612244897, 0.15238095238095237]
[0.4591836734693877, 0.5]
[0.24, 0.21176470588235297]
[0.13194444444444445, 0.10416666666666666]
[0.07017543859649122, 0.05540166204986149]
[0.11666666666666667, 0.16666666666666666]
[0.6666666666666666, 0.3508771929824561]
[0.061764705882352944, 0.11764705882352941]
[0.5333333333333333, 0.14]
[0.04489795918367347, 0.05714285714285714]
[0.11538461538461539, 0.08097165991902834]
[0.1623931623931624, 0.3076923076923077]
[0.24, 0.53125]
[1.0666666666666667, 0.5]
[0.09523809523809523, 0.15037593984962405]
[0.525, 0.375]
[0.1, 0.13095238095238096]
[0.10909090909090909, 0.21818181818181817]
[0.04710144927536231, 0.04782608695652174]
[0.05291005291005291, 0.05128205128205127]
[0.15476190476190474, 0.1607142857142857]
[0.2857142857142857, 0.26666666666666666]
[0.8035714285714286, 0.875]
[0.049999999999999996, 0.0661764705882353]
[0.10555555555555557, 0.0625]
[0.19999999999999998, 0.3176470588235294]
[0.53125, 0.375]
[0.125, 0.06547619047619048]
[0.3508771929824561, 0.5]
[1.3333333333333333, 0.7037037037037037]
[0.1111111111111111, 0.06578947368421052]
[0.21052631578947367, 0.33436532507739936]
[0.04038461538461539, 0.057692307692307696]
[0.05714285714285714, 0.029931972789115645]
[0.06363636363636364, 0.12121212121212122]
[0.04938271604938271, 0.09746588693957114]
[0.10500000000000001, 0.06]
[0.2222222222222222, 0.2328042328042328]
[0.31500000000000006, 0.6000000000000001]
[0.1983471074380165, 0.2]
[0.4040404040404041, 0.4]
[0.6060606060606061, 0.6136363636363635]
[0.04120879120879121, 0.04326923076923077]
[0.13186813186813187, 0.1242603550295858]
[0.1328125, 0.09722222222222222]
[0.12, 0.21176470588235297]
[0.6375, 0.375]
[0.6666666666666666, 1.0666666666666667]
[1.4999999999999998, 1.0499999999999998]
[0.08333333333333333, 0.11965811965811965]
[0.030476190476190476, 0.03265306122448979]
[0.03535353535353536, 0.032196969696969696]
[0.1323529411764706, 0.15]
[0.46875, 0.3984375]
[0.6666666666666666, 0.8333333333333333]
[1.3125, 0.9375]
[0.07179487179487179, 0.075]
[0.31746031746031744, 0.11851851851851851]
[0.3571428571428571, 0.9722222222222222]
[1.6666666666666665, 0.5982905982905983]
[0.06334841628959276, 0.06535947712418301]
[0.1985294117647059, 0.19117647058823528]
[0.32085561497326204, 0.3361344537815126]
[0.4803921568627451, 0.45294117647058824]
[0.07302231237322515, 0.041379310344827586]
[0.12931034482758622, 0.21982758620689655]
[0.367816091954023, 0.22988505747126436]
[0.5, 0.35]
[1.0526315789473684, 2.0]
[0.08333333333333333, 0.13194444444444445]
[0.2647058823529412, 0.1875]
[0.375, 0.3984375]
[0.11278195488721804, 0.12030075187969924]
[0.06481481481481481, 0.14756944444444445]
[0.051233396584440226, 0.07741935483870967]
[0.0625, 0.07916666666666668]
[0.23823529411764705, 0.19999999999999998]
[0.375, 0.3984375]
[0.08380952380952382, 0.08]
[1.1428571428571428, 0.45]
[0.2435897435897436, 0.41025641025641024]
[0.9230769230769231, 0.4886877828054299]
[0.735576923076923, 1.8461538461538463]
[0.04743083003952569, 0.04743083003952569]
[0.09848484848484848, 0.1]
[0.30303030303030304, 0.29752066115702475]
[0.7142857142857142, 0.375]
[1.1428571428571428, 2.1538461538461537]
[0.11403508771929823, 0.11695906432748537]
[0.23684210526315788, 0.2296650717703349]
[0.06666666666666667, 0.047619047619047616]
[0.12962962962962962, 0.11805555555555555]
[0.31764705882352945, 0.24]
[0.75, 0.9562499999999999]
[1.6, 1.3333333333333333]
[0.06349206349206349, 0.11851851851851851]
[0.3571428571428571, 0.19444444444444445]
[0.3333333333333333, 0.5982905982905983]
[0.8425925925925926, 0.4861111111111111]
[0.19047619047619047, 0.15037593984962405]
[0.07875000000000001, 0.07500000000000001]
[0.3, 0.23684210526315785]
[0.05026455026455026, 0.08928571428571427]
[0.10256410256410256, 0.1214574898785425]
[0.03, 0.04285714285714286]
[0.06666666666666667, 0.03492063492063492]
[0.08076923076923077, 0.057692307692307696]
[0.23076923076923078, 0.242914979757085]
[0.03198653198653199, 0.03787878787878788]
[0.12121212121212122, 0.09625668449197862]
[0.16098484848484848, 0.2272727272727273]
[0.25, 0.3273809523809524]
[0.07523510971786833, 0.07586206896551724]
[0.05416666666666667, 0.03666666666666667]
[0.11111111111111112, 0.16363636363636364]
[0.048701298701298704, 0.05113636363636364]
[0.1558441558441558, 0.14685314685314685]
[0.2462121212121212, 0.26515151515151514]
[0.0631578947368421, 0.05572755417956656]
[0.16776315789473684, 0.19736842105263158]
[0.2222222222222222, 0.17543859649122806]
[0.1, 0.07142857142857142]
[0.2857142857142857, 0.3007518796992481]
[0.19090909090909092, 0.7272727272727273]
[0.4, 0.42000000000000004]
[0.13095238095238096, 0.1]
[0.12, 0.16842105263157894]
[0.029931972789115645, 0.05714285714285714]
[0.05357142857142857, 0.075]
[0.22556390977443608, 0.21428571428571427]
[0.06818181818181818, 0.06818181818181818]
[0.20625000000000002, 0.20625000000000002]
[0.2777777777777778, 0.2692307692307692]
[0.13392857142857142, 0.140625]
[0.08163265306122448, 0.07619047619047618]
[0.033203125, 0.036458333333333336]
[0.05217391304347826, 0.04603580562659847]
[0.13858695652173914, 0.16304347826086957]
[0.08888888888888888, 0.17543859649122806]
[0.09545454545454546, 0.13636363636363635]
[0.5454545454545454, 0.2870813397129186]
[0.07058823529411765, 0.08333333333333333]
[0.17777777777777776, 0.14166666666666666]
[0.05, 0.07142857142857142]
[0.06451612903225806, 0.08448540706605223]
[0.21052631578947367, 0.6000000000000001]
[0.058823529411764705, 0.03081232492997199]
[0.2916666666666667, 0.16666666666666666]
[0.6666666666666666, 0.8771929824561402]
[0.3529411764705882, 0.41666666666666663]
[0.8888888888888888, 0.7083333333333333]
[0.0926470588235294, 0.08823529411764705]
[0.09090909090909091, 0.11904761904761907]
[0.10500000000000001, 0.07500000000000001]
[0.3, 0.3157894736842105]
[0.7563025210084032, 0.3571428571428571]
[0.7619047619047619, 1.5178571428571426]
[0.11228070175438595, 0.2456140350877193]
[0.5052631578947367, 0.22556390977443608]
[0.1623931623931624, 0.09615384615384616]
[0.03636363636363636, 0.03636363636363636]
[0.11000000000000001, 0.11000000000000001]
[0.18518518518518517, 0.18518518518518517]
[0.2625, 0.2625]
[0.3428571428571428, 0.3428571428571428]
[0.1328125, 0.14583333333333334]
[0.44999999999999996, 0.4]
[0.04589371980676329, 0.05434782608695652]
[0.3333333333333333, 0.2631578947368421]
[0.7916666666666667, 1.125]
[0.1, 0.08470588235294117]
[0.10964912280701752, 0.05555555555555555]
[0.1875, 0.3298611111111111]
[0.5514705882352942, 0.4166666666666667]
[0.125, 0.13095238095238096]
[0.05069124423963134, 0.12903225806451613]
[0.0909090909090909, 0.0909090909090909]
[0.275, 0.275]
